试题,试题总分,知识点,知识领域,能力层次,试题难度,试题学科,主客观属性
第1题,3,方程与代数,集合与命题,理解,,,客观题
第2题,3,函数与分析,指数函数与对数函数,理解,,,客观题
第3题,3,方程与代数,不等式,理解,,,客观题
第4题,3,函数与分析,函数及其基本性质,理解,,,客观题
第5题,3,函数与分析,函数及其基本性质,理解,,,客观题
第6题,3,函数与分析,函数及其基本性质,理解,,,客观题
第7题,3,函数与分析,函数及其基本性质,运用,,,客观题
第8题,3,函数与分析,函数及其基本性质,运用,,,客观题
第9题,3,函数与分析,函数及其基本性质,运用,,,客观题
第10题,3,方程与代数,不等式,综合,,,客观题
第11题,3,函数与分析,函数及其基本性质,综合,,,客观题
第12题,3,函数与分析,函数及其基本性质,综合,,,客观题
第13题,3,方程与代数,不等式,理解,,,客观题
第14题,3,函数与分析,函数及其基本性质,理解,,,客观题
第15题,3,函数与分析,函数及其基本性质,运用,,,客观题
第16题,3,方程与代数,不等式,综合,,,客观题
第17题,10,方程与代数,集合与命题,理解,,,客观题
第18题,4,函数与分析,函数及其基本性质,理解,,,客观题
第19题,4,函数与分析,函数及其基本性质,理解,,,客观题
第20题,4,函数与分析,函数及其基本性质,理解,,,客观题
第21题,7,函数与分析,函数及其基本性质,运用,,,客观题
第22题,7,函数与分析,函数及其基本性质,运用,,,客观题
第23题,4,函数与分析,指数函数与对数函数,理解,,,客观题
第24题,4,方程与代数,不等式,理解,,,客观题
第25题,8,函数与分析,指数函数与对数函数,综合,,,客观题
