问卷id,题号,题干,题型,可选项,分类1,分类2,最高分
9a46795b0bb844679f024fc16ab977ce,1,1.当我接受任务或者做作业时，我觉得一定能够顺利完成。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,2,2.我现在成绩不太好，但是我以后成绩会好的。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,3,3.在课堂上我敢于表达自己的观点。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,4,4.我在班级中学习成绩属于比较好的。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,5,5.遇到难题，我不会害怕。我觉得多动动脑子，一定能解决的。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,6,6.受到老师批判时，我觉得自己真的很差。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,7,7.如果老师在课堂上组织了一个我没有见过的活动，我就不敢参加。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,8,8.我经常感到，学习对我来讲是件很困难的事情。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习自信,5
9a46795b0bb844679f024fc16ab977ce,9,9.即使没有家长、老师督促我，我也会认真地学习。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习动机,5
9a46795b0bb844679f024fc16ab977ce,10,10.当老师、家长采取一些奖励、激励措施时，我会比平时更认真地回答问题、完成作业。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习动机,5
